round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,emb_output_dims,epochs,last_activation,losses,lr,neurons,optimizer,shape,weight_regulizer
100,0.4466555118560791,0.767578125,0.4596386253833771,0.7374810576438904,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.4617454707622528,0.7526041865348816,0.4837600588798523,0.7465857267379761,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.4549207389354706,0.7604166865348816,0.4465416669845581,0.7541729807853699,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4500919282436371,0.7701823115348816,0.4501670300960541,0.7541729807853699,<function tanh at 0x7f0a1a5a0170>,32,0.1,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.5194171071052551,0.7044270634651184,0.519761323928833,0.6980273127555847,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.5671951174736023,0.7122395634651184,0.5673397183418274,0.6995447874069214,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.4184228181838989,0.7916666865348816,0.4145430624485016,0.7754173278808594,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.4510611295700073,0.7467448115348816,0.4651050567626953,0.734446108341217,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.47110268473625183,0.7513020634651184,0.4553787112236023,0.7283763289451599,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.42146942019462585,0.79296875,0.4484960436820984,0.7738998532295227,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,5,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.5149248242378235,0.724609375,0.5398101806640625,0.7040970921516418,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.5130862593650818,0.728515625,0.5245922207832336,0.7040970921516418,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.41651320457458496,0.7805989384651184,0.47533953189849854,0.7481032013893127,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
100,0.40639039874076843,0.8040364384651184,0.4221583306789398,0.772382378578186,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.adam.Adam'>,long_funnel,None
100,0.44056013226509094,0.7786458134651184,0.43008413910865784,0.7587253451347351,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,brick,None
100,0.4284520447254181,0.78515625,0.42700639367103577,0.7784522175788879,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.01,15,<class 'keras.optimizer_v2.rmsprop.RMSprop'>,long_funnel,None
100,0.6809086799621582,0.5852864384651184,0.6750234365463257,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,brick,None
100,0.6802122592926025,0.5852864384651184,0.6745413541793823,0.6084977388381958,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.gradient_descent.SGD'>,long_funnel,None
100,0.45965132117271423,0.748046875,0.48230141401290894,0.7238239645957947,<function tanh at 0x7f0a1a5a0170>,32,0.2,None,100,<function sigmoid at 0x7f0a1a5a0320>,<function binary_crossentropy at 0x7f0a1a8324d0>,0.001,5,<class 'keras.optimizer_v2.adam.Adam'>,brick,None
